candidate_id,enzyme_name,structure_family,organism,sequence_length,uniprot_id,plddt_mean,catalytic_site_confidence,estimated_temperature_optimum,estimated_ph_optimum,estimated_salinity_tolerance,synthetic_degradation_rate,estimated_expression_difficulty,estimated_production_cost,literature_evidence_level,literature_evidence_label,experimental_status,data_provenance,structure_reference_uniprot_id,structure_reference_name,structure_reference_organism,alphafold_db_url,predicted_structure_url,structure_link_type
ENZ-SYN-001,SYN-LCCL-001,Leaf-branch-compost-cutinase-like,wastewater-sludge metagenome (simulated),277,,89.2,0.925,73.5,7.81,0.0,6.0,5,733.0,2,Simulated replicate observations,activity_screened,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-002,SYN-PETL-002,PETase-like,hot-spring metagenome (simulated),265,,83.4,0.6,63.6,8.89,13.7,2.269,3,225.0,0,No supporting record (in-silico only),in_silico_only,synthetic,A0A0K8P6T7,Poly(ethylene terephthalate) hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P6T7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P6T7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-003,SYN-PETL-003,PETase-like,compost metagenome (simulated),270,,77.9,0.431,45.1,9.03,23.5,0.879,3,187.0,1,Single simulated observation,in_silico_only,synthetic,A0A0K8P6T7,Poly(ethylene terephthalate) hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P6T7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P6T7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-004,SYN-TFCL-004,Thermobifida-cutinase-like,compost metagenome (simulated),282,,78.4,0.488,70.6,7.81,10.4,0.458,4,266.0,1,Single simulated observation,in_silico_only,synthetic,Q6A0I4,Cutinase cut2,Thermobifida fusca,https://alphafold.ebi.ac.uk/entry/Q6A0I4,https://alphafold.ebi.ac.uk/files/AF-Q6A0I4-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-005,SYN-TFCL-005,Thermobifida-cutinase-like,wastewater-sludge metagenome (simulated),293,,68.6,0.28,56.1,6.95,11.8,0.097,4,177.0,0,No supporting record (in-silico only),expressed_in_vitro,synthetic,Q6A0I4,Cutinase cut2,Thermobifida fusca,https://alphafold.ebi.ac.uk/entry/Q6A0I4,https://alphafold.ebi.ac.uk/files/AF-Q6A0I4-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-006,SYN-LCCL-006,Leaf-branch-compost-cutinase-like,soil metagenome (simulated),303,,74.8,0.576,68.5,7.53,9.0,0.526,4,266.0,3,Simulated multi-condition dataset,activity_screened,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-007,SYN-MHTL-007,MHET-hydrolase-like,compost metagenome (simulated),600,,88.6,0.893,45.3,7.87,21.0,0.815,5,1259.0,4,Simulated cross-laboratory dataset,pilot_evaluated,synthetic,A0A0K8P8E7,Mono(2-hydroxyethyl) terephthalate hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P8E7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P8E7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-008,SYN-TFCL-008,Thermobifida-cutinase-like,hot-spring metagenome (simulated),278,,88.5,0.829,74.8,7.2,6.8,1.356,4,342.0,2,Simulated replicate observations,expressed_in_vitro,synthetic,Q6A0I4,Cutinase cut2,Thermobifida fusca,https://alphafold.ebi.ac.uk/entry/Q6A0I4,https://alphafold.ebi.ac.uk/files/AF-Q6A0I4-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-009,SYN-PETL-009,PETase-like,compost metagenome (simulated),270,,75.0,0.28,46.0,8.25,17.0,0.032,1,65.0,0,No supporting record (in-silico only),in_silico_only,synthetic,A0A0K8P6T7,Poly(ethylene terephthalate) hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P6T7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P6T7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-010,SYN-TFCL-010,Thermobifida-cutinase-like,hot-spring metagenome (simulated),333,,84.2,0.28,73.4,7.12,11.7,0.126,3,171.0,3,Simulated multi-condition dataset,activity_screened,synthetic,Q6A0I4,Cutinase cut2,Thermobifida fusca,https://alphafold.ebi.ac.uk/entry/Q6A0I4,https://alphafold.ebi.ac.uk/files/AF-Q6A0I4-F1-model_v6.pdb,family_reference_not_candidate_specific
